Questions,Answers
what if a worker is under home quarantine while her spouse is working because his or her employer has not closed its doors,"This does not fall within the purview of the CNESST. Please consult the website of the Government of Québec for more information on this subject: https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/ For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
will my income replacement benefits be suspended if i miss an appointment due to covid,"The CNESST urges you to reschedule non-essential and non-urgent appointments to a later date. So if you miss care or treatment due to the coronavirus pandemic, your income replacement benefits will continue .Nevertheless, try to reschedule your appointments at least 24 hours in advance if possible. The CNESST does not reimburse cancellation fees charged by a medical facility when a worker does not show up for an appointment. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
do i have to inform the cnesst if the physical and occupational therapy clinic is closed,"No, you do not have to inform the CNESST For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
are remote treatment or consultation payable,"If the worker’s situation and condition are suitable, the CNESST will permit remote treatment and consultation provided that it is done in accordance with professional order rules As for the attendance register, it is recommended that clinics and practitioners obtain an email from the worker confirming that they have received treatment. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
since it is harder to get a medical appointment during the covid pandemic can i see another healthcare professional for my care,"Exceptionally, the CNESST will accept recommendations issued by a doctor, dentist, optometrist or pharmacist in their respective areas of expertise, as it is harder to get a medical appointment during the COVID-19 pandemic Furthermore, exceptionally, the CNESST can analyze worker claims related to COVID-19 when the medical certificate is completed by a nurse confirming this diagnosis and accompanied by the analysis results For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
in the current context of covid will the cnesst accept an audiogram dated more than months ago for authorization to purchase or renew hearing prostheses,"Given the current COVID-19 situation, the CNESST will accept audiograms up to 14 months old. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
will the billing deadline be extended for providers,"Exceptionally, the 180-day deadline will be calculated from the date on which the special measures are lifted by the government. The CNESST will inform orders and associations of the exact date in a timely manner. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
will clinics still be able to use the cnesst s physio ergo app to submit physical and occupational therapy documents after april,"Given the current situation, the CNESST will exceptionally extend the Physio-Ergo rollout phase beyond March 31, 2020. The CNESST Physio-Ergo app will therefore remain available beyond April 1, 2020.As the situation develops, discussions will be held with each of the software manufacturers to determine how to continue the rollout to the remaining clinics. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
do i have to keep a medical appointment requested by the cnesst,"The CNESST is postponing all medical assessments until further notice,The CNESST will notify you that your appointment has been postponed in a timely manner.,The CNESST will also notify the designated medical professionals in a timely manner.,You and your employer will receive a written notice when a new appointment date has been set. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
the cnesst requested that i see a respirologist for an occupational lung disease claim do i have to show up for the appointment,"The CNESST is postponing all scheduled lung disease assessments with respirologists until further notice.,The CNESST will notify you that your appointment has been postponed in a timely manner.,The CNESST will also notify the relevant health professionals in a timely manner. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
what does the cnesst suggest for my employer who has arranged a medical assessment,"The CNESST encourages employers to postpone non-urgent medical assessments, to reduce the propagation of COVID-19.Furthermore, no income replacement benefits will be suspended by the CNESST. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
the bureau d valuation m dicale bem has requested that i submit to a medical assessment do i have to keep the appointment,"The BEM has suspended all appointments and is informing the CNESST, on an ongoing basis, of appointments that have been moved to later dates.The BEM will notify you of this deferral and the date of your next appointment in a timely manner. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
will the day deadline for supplementary reports be extended for attending physicians,"Yes, the CNESST is extending the deadline for submitting supplementary reports by 30 days during the COVID-19 pandemic. Attending physicians will therefore have 60 days from the date of the request to respond to the Commission. This extension may be reassessed as circumstances change. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
i have to take a leave of absence from my temporary work assignment due to covid will the cnesst resume my income replacement benefits,"Every employer must take the necessary measures to protect the health and ensure the safety and physical well-being of his worker. However, these situations may arise:,You are under mandatory isolation in accordance with the Québec government’s COVID-19 health guidelines. The CNESST will continue or resume your income replacement benefits.
Work goes on at your company and there are no medical conditions or government guidelines that would justify your absence from work. The CNESST will assess the reasons put forward and then inform you if your income replacement benefits are being continued or suspended.
Your employer has implemented company-wide telework so everyone can temporarily be reassigned to work from home. The CNESST will consider this to be a continuation of your temporary reassignment and you will have to go through with it.
A company or organization (e.g., sports centre, daycare centre, school) is closed or ceases some of its operations in accordance with the Québec government’s COVID-19 health guidelines. As a result, your temporary work assignment comes to an end. The CNESST will resume your income replacement benefits from the date of cessation of work.
The worker or the employer must inform the CNESST that the temporary reassignment has ended. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
i have to be absent from my temporary work assignment because someone i live with has risk factors medical condition age will my benefits be resumed,"The CNESST considers this to be a valid reason and will resume the income replacement benefits For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
i want to be represented for a request for review how can i submit the representation mandate,"Due to the state of health emergency in effect all across Québec, submitting representation mandates by mail or fax may be complicated for workers. In these circumstances, the CNESST is encouraging duly completed representation mandates to be submitted through My CNESST Space.The worker can, exceptionally, inform the CNESST verbally of their intention to be represented. The worker must undertake to submit a duly completed representation mandate as soon as the relief measures have been lifted.

To inform the CNESST of your intention to be represented, please call us at 1-844-838-0808. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
is it still possible to contest the decisions rendered by the cnesst,"Yes. It is still possible for workers and employers to contest a decision.However, if you find it is impossible for you to contest a decision within the 30-day period provided by the Act respecting industrial accidents and occupational diseases, the CNESST will show flexibility and consideration for the unusual circumstances caused by the current COVID-19 crisis if the reason for missing the deadline was related to COVID-19 For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
is there any documentation on covid related issues,"The CNESST website has several sources of information as well as health and safety awareness tools. It also features documentation on biological hazards, the right to refuse to work and sick leave standards.A web page addressing key workplace-related questions has been made available on the CNESST website.

For information on the COVID-19 situation in Québec, please visit quebec.ca/en/coronavirus. For more information, please visit https://www.cnesst.gouv.qc.ca/salle-de-presse/covid-19-info-en/Pages/covid-19.aspx"
are animals responsible for covid in people,"The predominant route of transmission of COVID-19 is from human to human.Current evidence suggests that SARS-CoV-2 emerged from an animal source. Genetic sequence data reveals that SARS-CoV-2 is a close relative of other CoV found circulating in Rhinolophus bat (Horseshoe Bat) populations. However, to date, there is not enough scientific evidence to identify the source of SARS-CoV-2 or to explain the original route of transmission to humans (which may have involved an intermediate host)..

Investigations are needed to find the source, to determine how the virus entered the human population, and establish the potential role of an animal reservoir in this disease.

Priorities for research to investigate the animal source were discussed by the OIE informal advisory group on COVID-19, now the OIE ad hoc Group on COVID-19 and the human-animal interface, and were presented at the WHO Global Research and Innovation Forum (11-12 February 2020) by the President of the OIE Wildlife Working Group. For more information on the OIE ad hoc Group on COVID-19 and the human-animal interface and the WHO R&D roadmap please see the links under ‘more information’ at the bottom of this page. For more information, please visit https://www.oie.int/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/"
can animals be infected with sars cov,"Now that SARS-CoV-2 infections are widely distributed in the human population, there is a possibility for some animals to become infected through close contact with infected humans. Infection of animals with SARS-CoV-2 virus may have implications for animal health and welfare, for wildlife conservation, and for biomedical research.Dogs, cats (domestic cats and a tiger), and minks have tested positive for SARS-CoV-2 in the field setting, following close contact with infected humans (or humans suspected to be infected with SARS-CoV-2). Further information about these events, which have reported to the OIE, can be found below in the ‘more information’ section.

Studies are underway to better understand the susceptibility of different animal species to SARS-CoV-2 and to assess infection dynamics in susceptible animal species. To date, preliminary findings from studies suggest that poultry and pigs are not susceptible to SARS-CoV-2 infection.

Preliminary findings from laboratory studies suggest that, of the animal species investigated so far, cats are the most susceptible species for SARS-CoV-2, and cats can be affected with clinical disease. In the laboratory setting cats were able to transmit infection to other cats. Ferrets appear to be susceptible to infection but appear to be less affected by clinical disease. In the laboratory setting ferrets were also able to transmit infection to other ferrets. Ferrets might serve as a useful model for future studies e.g. to evaluate vaccines or therapeutics. Dogs appear to be susceptible to infection but appear to be less affected than ferrets or cats. Egyptian fruit bats were also infected in the laboratory setting but did not show signs of disease. The fruit bats did appear to be able to transmit infection to other fruit bats.

The current spread of COVID-19 is a result of human to human transmission. To date, there is no evidence that companion animals play a significant a role in spreading the disease. Therefore, there is no justification in taking measures against companion animals which may compromise their welfare. For more information, please visit https://www.oie.int/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/"
what precautionary measures should be taken when companion or other animals have close contact with humans suspected or confirmed to be infected with sars cov,"Currently, there is no evidence that animals are playing a significant epidemiological role in the spread of human infections with SARS-CoV-2. However, because animals and people can sometimes share diseases (known as zoonotic diseases), it is still recommended that people who are suspected or confirmed to be infected with SARS-CoV-2 limit contact with animals When handling and caring for all animals, basic hygiene measures should always be implemented. This includes hand washing before and after being around or handling animals, their food, or supplies, as well as avoiding kissing, being licked by animals, or sharing food.

People who are suspected or confirmed to be infected with SARS-CoV-2 should minimise close direct contact with animals, including farm animals, zoo animals, other captive animals, and wildlife; particularly species which have demonstrated to be susceptible to infection with SARS-CoV-2. As good practice, appropriate and effective biosecurity measures should always be practiced when people have contact with groups of animals e.g. on farms, at zoos, and in animal shelters.

When possible, people who are infected with SARS-CoV-2 should avoid close contact with their pets and have another member of their household care for their animals. If they must look after their pets, they should maintain good hygiene practices and wear a face mask if possible. Animals belonging to owners infected with SARS-CoV-2 should be kept indoors as much as possible and contact with those pets should be avoided as much as possible. For more information, please visit https://www.oie.int/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/"
what can national veterinary services do with regards to companion animals,"Public Health and Veterinary Services should work together using a One Health approach to share information and conduct a risk assessment when a person who is infected with SARS-CoV-2 reports being in contact with companion or other animals.If a decision is made, as a result of a risk assessment, to test a companion animal which has had close contact with a person/owner infected with SARS-CoV-2, it is recommended that RT-PCR be used to test oral, nasal and fecal/rectal samples. Care should be taken to avoid contamination of specimens from the environment or by humans.

Animals that test positive for SARS-CoV-2 should be kept away from unexposed animals and contact with those animals should be avoided as much as possible For more information, please visit https://www.oie.int/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/"
are there any precautions to take with live animals or animal products,"Although there is uncertainty about the origin of SARS-CoV-2, in accordance with advice offered by the WHO, as a general precaution when visiting live animal markets, wet markets or animal product markets, general hygiene measures should be applied. These include regular hand washing with soap and potable water after touching animals and animal products, as well as avoiding touching eyes, nose or mouth, and avoiding contact with sick animals or spoiled animal products. Any contact with other animals possibly living in the market (e.g., stray cats and dogs, rodents, birds, bats) should be avoided. Precaution should be taken to avoid contact with animal waste or fluids on the soil or surfaces of shops and market facilities.Standard recommendations issued by WHO to prevent infection spread include regular hand washing, covering mouth and nose with the elbow when coughing and sneezing and avoiding close contact with anyone showing symptoms of respiratory illness such as coughing and sneezing.  As per general good food safety practices, raw meat, milk or animal organs should be handled with care, to avoid potential cross-contamination with uncooked foods. Meat from healthy livestock that is prepared and served in accordance with good hygiene and food safety principles remains safe to eat. Further recommendations from WHO can be consulted here.

The Codex Alimentarius Commission has adopted several practical guidelines on how to apply and implement best practices to ensure food hygiene (Codex General Principles of Food Hygiene, CXC 1- 1969), handle meats (Codex Code of Hygienic Practice for Meat, CXC 58 – 2005), and control viruses in foods (Guidelines for the Application of General Principles of Food Hygiene to the Control of Viruses in Food (CAC/GL 79-2012) and others which can be consulted on the Codex website.

OIE is actively monitoring SARS-CoV-2 infections in animals, research, and risk analyses with an animal focus, and analysing implications for safe trade in animals and animal products. Based on currently available information, and with the support of expert advisory groups, the OIE makes no specific recommendations for COVID-19 related sanitary measures for the international trade of animals or animal products for countries reporting cases of COVID-19 in humans. Evidence-based risk management principles guide trade in animal species (or their products) demonstrated to be susceptible to infection with SARS-CoV-2 virus. Evaluation and implementation of risk management for safe trade should follow the principles laid out in Section 2 (Risk Analysis) and Section 5 (Trade Measures, Import/Export Procedures and Veterinary/Health Certification) of the Terrestrial and Aquatic Animal Health Codes. Precautions for packaging materials are unnecessary over and above the observation of basic hygiene, such as ensuring it is clean and free of visible contamination. The report of the OIE ad hoc Group on COVID-19 and Safe Trade in Animals and Animal Products can be consulted here. For more information, please visit https://www.oie.int/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/"
what are the veterinary authority s international responsibilities in this event,"The infection of animals with SARS-CoV-2 meets the criteria of an emerging disease.Therefore, any (case of) infection of animals with SARS-CoV-2 should be reported to the OIE in accordance with the OIE Terrestrial Animal Health Code and include information about the species, diagnostic tests, and relevant epidemiological information.

It is important for Veterinary Authorities to remain informed and maintain close liaison with public health authorities and those responsible for wildlife, to ensure coherent and appropriate risk communication messages and risk management.

It is important that COVID-19 does not lead to inappropriate measures being taken against domestic or wild animals which might compromise their welfare and health or have a negative impact on biodiversity.

In some countries, National Veterinary Services are supporting core functions of the public health response, such as screening and testing of surveillance and diagnostic samples from humans. Veterinary clinics in some countries are also supporting the public health response by donating essential materials such as personal protective equipment and ventilators.

Guidance on Veterinary Laboratory Support to the Public Health Response for COVID-19 is available at the bottom of this document.

The OIE considers Veterinary Services as essential services. Veterinary Authorities can advocate for this within national COVID-19 response plans and operations, to ensure activities related to animal health, animal welfare and veterinary public health risk management continue, under appropriate hygiene protocols, to safeguard the ongoing production of the many and varied goods derived from animals, animal products and animal by-products upon which our societies depend. For more information, please visit https://www.oie.int/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/"
what is the oie doing,"The OIE is in contact with its Regional Representations and Sub Regional Representations, OIE Delegates of Member Countries, the OIE Wildlife Working Group, as well as FAO and WHO, to gather and share the latest available information. The OIE is closely liaising with its network of experts involved in current investigations on the source of the disease. Rumours and unofficial information are also monitored daily.The OIE has mobilized several technical working groups (‘ad hoc groups’) to provide scientific advice on research priorities, on-going research, and other implications of COVID-19 for animal health and veterinary public health, including risk assessment, risk management, and risk communication. The OIE has also developed high level guidance for veterinary laboratories working with public health services to support testing of human samples for SARS-CoV-2.

The OIE has put in place an Incident Coordination System to coordinate these activities.

Given the similarities between COVID-19 and the emergence of other human infectious diseases at the human animal interface, the OIE is working with its Wildlife Working Group and other partners to develop a longer term work programme which aims to better understand the dynamics and risks around wildlife trade and consumption, with a view to developing strategies to reduce the risk of future spillover events. For more information, please visit https://www.oie.int/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/"
if someone gets the virus and then recovers can that person become infected again or are they immune,"Experts don’t think someone can catch this virus twice but at this point they’re not sure. “That has yet to be answered because we’re so early on in the outbreak,” says Vaisman.There were earlier reports of somebody testing initially positive, then negative and then positive again. Although this may have been due to the fact that the middle negative test was what we call a ‘false negative.’ It wasn’t an accurate test. But we don’t know the answer to that yet. Future research is going to be required.”

It’s possible, for example, that a patient’s immunity to COVID-19 could weaken if the virus mutates. Some viruses, such as influenza, mutate rapidly, which is why people continue catching the flu every year.

“Every year it’s a slightly different virus that we’re talking with,” says Jeff Kwong, a family physician and public-health professor at the University of Toronto. “And we don’t know enough yet about this new coronavirus, if it mutates as quickly as influenza.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
what happens after my day isolation period is over can i go visit my grandkids,"Now’s not the time to go and visit your other family members,” says Sumontra Chakrabarti, an infectious disease specialist with Mississauga Halton Healthline.“We understand there has to be some essential things, like going to get groceries. Sometimes people have to go to certain types of doctor appointments. But,  if you’re going to go outside, what we recommend is that you keep yourself away, at least two metres, from everybody else.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
i self isolated because i had symptoms consistent with covid but i m no longer feeling symptoms am i still contagious,"“This is a very good question and it’s a research question,” says Dr. Ronald St. John, the former director-general of the Centre for Emergency Preparedness and Response at the Public Health Agency of Canada.“There are some scattered reports of the virus being detected by molecular testing on people who are several days past being discharged from the hospital and who were deemed to be recovered.”

“It looks like that if you start from day one with symptoms, you’re contagious for about eight days,” says Sumontra Chakrabarti.

“One thing that’s important to note, though, is that in the mild cases, the symptoms only lasts for about five to seven days. So it’s possible, even when your symptoms go away, you could have some contagion for a couple of days after that.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
is loss of smell a symptom of coronavirus particularly in asymptomatic people,"A team of leading ear, nose and throat doctors in the U.K. have warned that people experiencing the loss of smell or taste could be “hidden carriers” of the virus, capable of spreading it without realizing. They compiled data from a number of countries, including Germany and South Korea, that found a growing number of patients with little to no other symptoms aside from losing the sense of smell.But a diminished sense of taste and smell can be symptomatic of a wide variety of illnesses, and isn’t definitive of COVID-19 at this point, according to Dr. Isaac Bogoch, an infectious disease specialist based out of Toronto General Hospital.
“I doubt this is a very specific feature of COVID-19. It might be a feature, but likely not a uniquely distinctive one compared to other infections,” he said.
Bogoch said it’s not unreasonable that people with the new coronavirus could see a decrease in their sense of smell, but said on the scale of symptom importance, it’s “minimal.”
“It’s a common symptom in many infections. It’s usually extremely mild,” he said. “If people truly have no other symptoms at all, I don’t think it would be wise to start rushing to testing centres.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
do we know anything about the consequences of the virus on pregnant women and on the fetus,"“We don’t know yet about the effect of the virus on the fetus or on the pregnant woman,” says infectious disease expert Alon Vaisman. “But so far, the evidence has been very reassuring that there hasn’t been transmission from mom to baby.” COVID-19 has had remarkably little impact on babies and children, but they can become infected. A newborn baby in London reportedly tested positive for coronavirus just minutes after birth. The child’s mother had been admitted to hospital days earlier with suspected pneumonia. It’s not known whether the child contracted the disease in the womb or was infected during birth.

Vaisman says a pregnant woman’s weakened immune system and regular check-ups may put them at a higher risk of being exposed to the virus. “When it comes to pregnant women, these (medical) appointments are absolutely necessary to make sure everything’s OK. The only thing we could recommend is to avoid contact with people as much within reason.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
how will covid respond to the warmer spring summer weather we are fast approaching,"Seasonal influenza thrives in the northern hemisphere during the winter and then tapers off in the warmer spring and summer months. But experts aren’t sure whether COVID-19 will follow a similar pattern.“Nobody has any idea what the spread of this virus is going to do when it gets warmer,” says Michael Gardam, Chief of Staff at Humber River Hospital. “There have been some theories that perhaps it will behave like influenza. However, given the spread of this around the world, in many parts of the world that are warmer than here, I think we need to put that whole ‘it’s all going to go away in the summer’ thing to rest.”
Countries in the middle of summer, such as Australia and Brazil, reported dozens of cases of COVID-19. Singapore, where it’s hot and humid most of the year, has confirmed more than 100 cases.
“I think it’s very likely we’re going to continue to see spread over the summer. Now, might the spread slow down a bit? Maybe. But it’s going to be very hard to measure that. For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
what should i do if i develop symptoms consistent with covid,"Symptoms of the new coronavirus include a fever, dry cough, fatigue and shortness of breath. But if you develop these symptoms, it’s still unlikely that you’re infected with COVID-19.It’s important to recognize that, right now, we’re in respiratory virus season. The symptoms of COVID-19 will be similar to all the symptoms that you’d experience from other respiratory viruses,” explains Alon Vaisman, an infectious disease expert with the University Health Network in Toronto.

“The highest risk individuals are those who’ve travelled recently or been exposed to somebody who is confirmed to be infected.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
how to protect yourself,"Vaisman notes that most hospitals and community centres in Canada are still only testing those who have recently travelled abroad or had direct exposure to someone diagnosed with COVID-19.“If you’re experiencing respiratory symptoms or fever, you’re most likely explanation is not COVID-19. However, the likelihood of that will change depending on what happens in Canada and whether we start seeing increases in community transmission.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
what are the chances of dying from covid,"We still don’t know exactly how deadly this disease is. Globally, about 3.4 per cent of reported COVID-19 cases have died, according to the World Health Organisation’s briefing on March 3. But the actual mortality rate may be much lower.“Most of those numbers are coming from Hubei Province, where they were overwhelmed with this. And so their mortality rate is artificially high,” says Michael Gardam, Chief of Staff at Humber River Hospital.

Because symptoms can be mild and many cases are likely going undiagnosed, experts believe the real mortality (or death) rate is closer to one per cent. South Korea, for example, rolled out a mass public testing programme, with as many as 10,000 new tests conducted per day. The mortality rate there has remained below one per cent.

Italy has seen a mortality rate closer to five per cent, but it also has the oldest population in Europe, with about a quarter of its residents aged 65 or older. For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
who is most at risk,"The older you are, the more likely you are to have a rougher course with this infection,” says infectious disease expert Isaac Bogoch.In Italy, for example, the average age of those who have died was 81, according to Italy’s national health institute on March 5. And many of the victims had preexisting health conditions.In China, the official mortality rate was 14.8 per cent in people 80 or older, compared with an overall national mortality rate of 2.3 per cent.

“So it certainly can take its toll on older people. Now, if someone is 80-years-old and they get this infection, is it certain that they are going to die? Of course not. It’s a risk factor.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
are children at risk,"Children can become infected with COVID-19 but appear to carry a much lower risk of developing severe symptoms. Fewer than one per cent of confirmed cases in China were nine years or younger and there were no reported deaths. “It is a bit of a mystery. I don’t think we fully understand why that is the case,” says Vaisman.

“It’s a respiratory infection and people with the most vulnerable lungs tend to be the very youngest and the very oldest. So it is mysterious as to why very young people are not affected the same way that we would see with other viruses.”

While unexplained, it’s also not unusual: children fare better at managing many other infectious diseases, such as chickenpox and SARS (severe acute respiratory syndrome).

That said, health officials remain concerned about the potential for children to spread the coronavirus to others, particularly since their symptoms are typically mild and cases can go undiagnosed. “They’re considered a real threat to others because they’re sick, but not that sick. And they can spread it to other people,” says Gardam For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
what if i have an underlying medical condition or weakened immune system,"The answer depends, of course, on the severity of a person’s existing health issue. “Not all underlying medical conditions are created equal,” says Bogoch.“If someone has mild asthma, they may have a bit of a rougher course with this infection, though likely not. But if someone has, for example, really hard-to-manage COPD (chronic obstructive pulmonary disease), this infection can certainly cause some damage.”

Other underlying conditions associated with severe cases of COVID-19 have included high blood pressure or hypertension, diabetes and cardiovascular disease. For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
we have a spring break trip scheduled to california at what point would you consider cancelling it,"If you’re wondering whether to cancel travel plans, health officials say your first stop should be the Government of Canada’s travel advisory webpage. Be sure to check the advisories for both your destination and any stopover locations along the way.The website currently recommends avoiding all travel on cruise ships, for example. Vaisman says seniors or those with underlying health conditions might want to reconsider any trip outside the country, including to the United States. “Really think about whether that travel is necessary because they are considered ‘at-risk’.”“If you go out and travel somewhere, even if it’s the United States and you become unwell, how’s that going to affect your family? How’s it going to affect your job? How’s it going to affect your colleagues at work? Because if you do require quarantine, it’s going to have a pretty significant effect on the quality of your life and the people close to you.”

Gardam says he’s personally decided to cancel all travel plans outside of Canada for the foreseeable future. “We’re seeing people’s vacations getting screwed up. I don’t want my vacations screwed up. I have no interest in travelling to someplace and then finding out I have to be in quarantine, or the place I’m staying has been put in lockdown, or my flights have been cancelled or whatever else. I don’t want to deal with that. For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
i have tickets to a basketball game should i cancel those plans and avoid large crowds,"Health experts are stressing the importance of avoiding large gatherings as an effective means of curtailing the outbreak. “When you increase the likelihood of transmission by having people close together, then you’re potentially going to run into trouble, especially you’re talking about things that are non-essential, like parades or concerts,” says Vaisman. “All it takes is a few individuals who have the virus. All of a sudden you have a few transmission events and then the virus just kind of explodes from there.”The coronavirus is understood to have a “reproductive number” between two and 2.5, meaning each sick person is infecting at least two other people. “So that’s enough to say it’s quick exponential growth,” says Jeffrey Rosenthal, a professor of statistical sciences at the University of Toronto. “There’s definitely the potential for there to be a lot more cases because it is quite contagious.”The majority of cases are mild, which has helped to fuel the spread. “That may be why this outbreak has become so severe,” says Bogoch. “Many people who are mildly symptomatic are well enough to leave the house, well enough to travel and therefore transmit to other people. And that perhaps is one of the biggest contributors to this problem.”Canada’s Minister of Health Patty Hajdu said on March 11 that the government anticipates between 30 and 70 per cent of Canada’s population will contract the virus. For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
are people contagious before their symptoms appear how long do symptoms last,"Once someone contracts COVID-19, it typically takes around four or five days before they start showing symptoms. But they can be contagious before that.“People will probably shed (or spread) the virus for about a day or so before they feel sick,” says Bogoch. “That’s common with all viruses.”

“If you’re an otherwise healthy person, you may find the illness passes after a few days. Although people who are unwell, for example, or who have (underlying health conditions) like diabetes or heart disease, or the elderly, will have a much worse outcome and may experience more severe side effects, such that on around ‘Day 7’ they may require admission to hospital.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
do masks protect against the virus,"Yes and no. If you’re sick, a surgical mask can help prevent you from spreading the virus to others. But if you’re not sick, it’s unlikely to offer much protection.“Walking around the city wearing a mask intermittently? There’s no evidence to say that that’s going to help you,” says Gardam.

“You’d have to be wearing that mask 24/7 to not potentially get infected and never touch it and move it around. And you probably shouldn’t eat either, because you’ve got to take it off when you do that. And you should have eye protection as well. So a mask on its own, it really doesn’t make any sense.” For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
do the pneumonia vaccine or the flu shot protect against the virus,"The flu shot and the pneumonia (or pneumococcal) vaccine, which is a routine immunization for infants and people 65 and older, won’t protect against COVID-19. But they can help patients avoid contracting those illnesses as a result of weakened immune system from COVID-19. In severe cases, the novel coronvirus may cause pneumonia and lead to respiratory failure. For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
should governments close schools to slow the spread of the virus,"School closures, such as the Ontario Government’s decision to cancel classes for elementary and high school students until April 6, can cause significant disruption. But health experts note that temperately closing classrooms has proved to be one of the most effective tools in curtailing a contagion. “There’s certainly evidence from other respiratory viruses that children are a big incubator of this. And they’re also the ones that are very good at spreading it to other people,” says Michael Gardam, Chief of Staff at Humber River Hospital. 

Parents won’t be surprised to hear that children are considered “super spreaders” of respiratory illnesses. But that may prove particularly true in the case of COVID-19, because the majority of children’s symptoms thus far have been very mild and, as a result, more difficult to detect.

“So based on that evidence, I think most places have thought about closing schools,” Gardam says. 

The WHO reported in February that 2.4 per cent of COVID-19 cases involved children and just 0.2 per cent were children who became critically ill. For more information, please visit https://globalnews.ca/news/6664297/coronavirus-covid-19-questions-answers-2/"
covid symptoms when they occur vary widely and undertesting means many people have probably been unwittingly infected,"Covid-19 symptoms vary widely, and undertesting in many countries means that many people may have already had the coronavirus without having received a positive diagnosis. Is it possible to find out For more information, please visit https://www.theguardian.com/global/2020/apr/13/coronavirus-have-i-already-had-covid-19"
is there any way to know whether someone has had covid in the past,"Dr William Hillmann: Antibody tests are being developed but are not in widespread clinical use yet. The antibody testing would allow us to check blood samples for antibodies against coronavirus to tell whether somebody has had it. I, and I think many others, are anxiously awaiting for those to become available. For more information, please visit https://www.theguardian.com/global/2020/apr/13/coronavirus-have-i-already-had-covid-20"
